Variable,Description
clust,unique trap station cluster ID
VPD_kPa.mean,mean vapor pressure deficit
GRIDMET_Precip_mm.mean,mean precipitation
EVI.mean,mean Enhanced Vegetation Index
jrcStandingWater.mean,mean area of standing water
irrWater.mean,mean area of irrigated agriculture
pdsi.mean,mean Palmer Drought Severity Index
Mean_Bird_Diversity.mean,mean Shannon's bird diversity
amecro_abundance.mean,mean abundance of American Crows
amerob_abundance.mean,mean abundance of American Robins
cowscj_abundance.mean,mean abundance of Western Scrub Jays
houfin_abundance.mean,mean abundance of House Finches
houspa_abundance.mean,mean abundance of House Sparrows
competent_bird_abundance.mean,mean abundance of competent bird hosts
trans_mean,mean temperature-dependent transmission efficiency of West Nile virus
abund_mean,mean temperature-dependent mosquito abundance
bite_mean,mean temperature-dependent mosquito biting rates
airT_mean,mean air temperature
NLCD_majority2,categorical land cover
Chick_mean,mean chicken density
Cattl_mean,mean cattle density
CApop_mean,mean human population density
NumObservations.sum,number of observations for which there were estimates of minimum infection rates within the trap station cluster during the study period
MIR_Tar.mean,mean minimum infection rates of Culex tarsalis with West Nile virus
VPD_kPa.mean_std,standardized mean vapor pressure deficit
GRIDMET_Precip_mm.mean_std,standardized mean precipitation
EVI.mean_std,standardized mean Enhanced Vegetation Index
jrcStandingWater.mean_std,standardized mean area of standing water
irrWater.mean_std,standardized mean area of irrigated agriculture
pdsi.mean_std,standardized mean Palmer Drought Severity Index
Mean_Bird_Diversity.mean_std,standardized mean Shannon's bird diversity
amecro_abundance.mean_std,standardized mean abundance of American Crows
amerob_abundance.mean_std,standardized mean abundance of American Robins
cowscj_abundance.mean_std,standardized mean abundance of Western Scrub Jays
houfin_abundance.mean_std,standardized mean abundance of House Finches
houspa_abundance.mean_std,standardized mean abundance of House Sparrows
competent_bird_abundance.mean_std,standardized mean abundance of competent bird hosts
abund_mean_std,standardized mean temperature-dependent mosquito abundance
trans_mean_std,standardized mean temperature-dependent transmission efficiency of West Nile virus
bite_mean_std,standardized mean temperature-dependent mosquito biting rates
airT_mean_std,standardized mean air temperature
Chick_mean_std,standardized mean chicken density
Cattl_mean_std,standardized mean cattle density
CApop_mean_std,standardized mean human population density
NumObservations.sum_std,standardized number of observations for which there were estimates of minimum infection rates within the trap station cluster during the study period
MIR_Tar.mean_std,standardized mean minimum infection rates of Culex tarsalis with West Nile virus
xcoord.x,x coordinate for determining residual spatial autocorrelation  
xcoord_scale,x coordinate for inclusion as control in models
ycoord_scale,y coordinate for inclusion as control in models
ycoord.y,y coordinate for determining residual spatial autocorrelation  
